Date,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits,Capital Gains
2025-07-03 00:00:00-04:00,61.209999084472700,61.52000045776370,61.08000183105470,61.369998931884800,991909.0,unilever,UL,consumer goods,netherlands,0.0,0.0,
2025-07-03 00:00:00-04:00,68.19999694824220,69.47000122070310,68.19999694824220,69.37000274658200,17973495.0,cisco,CSCO,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,292.1499938964840,296.3800048828130,291.2099914550780,296.0,6480148.0,jpmorgan chase & co,JPM,finance,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,136.27000427246100,138.1699981689450,136.25,136.49000549316400,2623784.0,airbnb,ABNB,hospitality,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,277.6199951171880,281.2799987792970,277.5,280.0299987792970,622081.0,marriott,MAR,hospitality,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,174.38999938964800,175.2449951171880,174.00999450683600,174.88999938964800,334151.0,toyota,TM,automotive,japan,0.0,0.0,
2025-07-03 00:00:00-04:00,271.32000732421900,274.2900085449220,271.32000732421900,273.4200134277340,928231.0,hilton,HLT,hospitality,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,560.7750244140630,569.6619873046880,560.7349853515630,569.239990234375,1497740.0,mastercard,MA,finance,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,371.80999755859400,373.1799926757810,368.4049987792970,371.6799926757810,2573629.0,the home depot,HD,retail,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,155.42999267578100,156.27999877929700,154.8800048828130,156.00999450683600,3363171.0,johnson & johnson,JNJ,healthcare,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,92.62999725341800,94.11000061035160,92.61000061035160,93.62999725341800,8112562.0,uber,UBER,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,161.7899932861330,162.02000427246100,159.7899932861330,160.8300018310550,6999589.0,procter & gamble,PG,consumer goods,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,243.75,245.75999450683600,240.1199951171880,241.22999572753900,2410389.0,fedex,FDX,logistics,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,154.25,154.99000549316400,149.5,152.94000244140600,3182854.0,3m,MMM,manufacturing,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,24.31999969482420,24.399999618530300,24.11000061035160,24.170000076293900,871452.0,philips,PHG,technology,netherlands,0.0,0.0,
2025-07-03 00:00:00-04:00,24.68000030517580,24.895000457763700,24.61000061035160,24.729999542236300,1753809.0,foot locker,FL,footwear,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,6.630000114440920,6.739999771118160,6.614999771118160,6.639999866485600,4230300.0,peloton,PTON,fitness,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,106.75,108.41999816894500,106.33000183105500,107.33999633789100,560200.0,crocs,CROX,footwear,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,71.04000091552730,71.3949966430664,70.54000091552730,71.3499984741211,9440457.0,the coca-cola company,KO,food & beverage,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,71.04000091552730,71.4000015258789,70.44999694824220,71.3499984741211,9440500.0,the coca-cola company,KO,food & beverage,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,493.4949951171880,500.1199951171880,493.4400024414060,498.8399963378910,13917734.0,microsoft,MSFT,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,354.5899963378910,359.0,353.6099853515630,358.8599853515630,3702810.0,visa,V,finance,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,92.8000030517578,93.12000274658210,91.91000366210940,92.77999877929690,3300900.0,colgate palmolive,CL,consumer goods,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,371.80999755859400,373.1799926757810,368.3299865722660,371.6799926757810,2573600.0,the home depot,HD,retail,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,378.0,383.2000122070310,377.7999877929690,379.30999755859400,2863700.0,adobe,ADBE,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,61.209999084472700,61.52000045776370,61.06999969482420,61.369998931884800,991900.0,unilever,UL,consumer goods,netherlands,0.0,0.0,
2025-07-03 00:00:00-04:00,68.18000030517580,69.47000122070310,68.18000030517580,69.37000274658200,17973500.0,cisco,CSCO,technology,usa,0.41,0.0,
2025-07-03 00:00:00-04:00,292.1499938964840,296.3999938964840,291.2099914550780,296.0,6541600.0,jpmorgan chase & co,JPM,finance,usa,1.4,0.0,
2025-07-03 00:00:00-04:00,115.68000030517600,115.8000030517580,113.91000366210900,114.05999755859400,234100.0,lvmh,LVMUY,luxury goods,france,0.0,0.0,
2025-07-03 00:00:00-04:00,136.27000427246100,138.19000244140600,136.22999572753900,136.49000549316400,2628600.0,airbnb,ABNB,hospitality,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,277.6199951171880,281.2799987792970,277.5,280.0299987792970,623200.0,marriott,MAR,hospitality,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,10.010000228881800,10.380000114440900,10.010000228881800,10.260000228881800,2559603.0,zoominfo,ZI,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,174.38999938964800,175.25,174.00999450683600,174.88999938964800,335000.0,toyota,TM,automotive,japan,0.0,0.0,
2025-07-03 00:00:00-04:00,271.32000732421900,274.2900085449220,271.32000732421900,273.4200134277340,928200.0,hilton,HLT,hospitality,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,294.6700134277340,294.8299865722660,292.6099853515630,294.0799865722660,1678600.0,mcdonald's,MCD,food,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,2.130000114440920,2.130000114440920,2.0899999141693100,2.0899999141693100,40800.0,ubisoft,UBSFY,gaming,france,0.0,0.0,
2025-07-03 00:00:00-04:00,92.44000244140620,93.08000183105470,92.27999877929690,92.69000244140620,216100.0,logitech,LOGI,technology,switzerland,0.0,0.0,
2025-07-03 00:00:00-04:00,155.42999267578100,156.27999877929700,154.8800048828130,156.00999450683600,3482500.0,johnson & johnson,JNJ,healthcare,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,92.62999725341800,94.11000061035160,92.61000061035160,93.62999725341800,8112600.0,uber,UBER,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,161.7899932861330,162.02000427246100,159.7899932861330,160.8300018310550,6999600.0,procter & gamble,PG,consumer goods,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,350.3500061035160,357.8699951171880,348.5,355.79998779296900,6704300.0,coinbase,COIN,cryptocurrency,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,243.75,245.759994506836,240.1199951171880,241.22999572753900,2410400.0,fedex,FDX,logistics,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,154.25,155.0,149.5,152.94000244140600,3182900.0,3m,MMM,manufacturing,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,24.31999969482420,24.39999961853030,24.11000061035160,24.170000076293900,871500.0,philips,PHG,technology,netherlands,0.0,0.0,
2025-07-03 00:00:00-04:00,24.68000030517580,24.89999961853030,24.61000061035160,24.729999542236300,1753800.0,foot locker,FL,footwear,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,1292.0,1302.260009765630,1279.760009765630,1297.1800537109400,2006200.0,netflix,NFLX,entertainment,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,139.11000061035200,139.5,137.32000732421900,137.91000366210900,28646000.0,amd,AMD,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,354.5899963378910,359.0,353.6099853515630,358.8599853515630,3702800.0,visa,V,finance,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,114.9800033569340,117.45999908447300,114.97000122070300,116.5199966430660,3773600.0,shopify,SHOP,e-commerce,canada,0.0,0.0,
2025-07-03 00:00:00-04:00,34.0,34.2400016784668,33.86000061035160,34.08000183105470,3733400.0,southwest airlines,LUV,aviation,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,27.73500061035160,27.73500061035160,27.73500061035160,27.73500061035160,0.0,puma,PMMAF,apparel,germany,0.0,0.0,
2025-07-03 00:00:00-04:00,982.4099731445310,987.6699829101560,977.3300170898440,987.02001953125,1101400.0,costco,COST,retail,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,212.1499938964840,214.6499938964840,211.8099975585940,213.5500030517580,34955800.0,apple,AAPL,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,10.300000190734900,10.390000343322800,10.15999984741210,10.279999732971200,3193500.0,american eagle outfitters,AEO,apparel,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,76.2699966430664,77.02999877929690,75.58000183105470,76.38999938964840,12022600.0,nike,NKE,apparel,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,105.9499969482420,105.97000122070300,104.0500030517580,104.05999755859400,3535300.0,target,TGT,retail,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,178.5,179.6699981689450,177.0500030517580,179.52999877929700,21689700.0,google,GOOGL,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,713.0,725.5499877929690,704.5499877929690,725.0499877929690,1078900.0,spotify,SPOT,music,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,77.5999984741211,79.82499694824220,77.41000366210940,78.58000183105470,2889400.0,zoom video communications,ZM,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,123.06999969482400,124.23999786377000,122.9000015258790,124.0,4252300.0,the walt disney company,DIS,entertainment,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,22.709999084472700,22.8700008392334,22.549999237060500,22.75,387200.0,nintendo,NTDOY,gaming,japan,0.0,0.0,
2025-07-03 00:00:00-04:00,50.5,51.38999938964840,50.34999847412110,50.86000061035160,6123400.0,delta air lines,DAL,aviation,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,493.80999755859400,500.1300048828130,493.4400024414060,498.8399963378910,13984800.0,microsoft,MSFT,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,221.82000732421900,224.009994506836,221.3600006103520,223.41000366210900,29632400.0,amazon,AMZN,e-commerce,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,102.41000366210900,104.31999969482400,102.31999969482400,103.58999633789100,3215400.0,roblox,RBLX,gaming,usa,0.0,0.0,
